ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:1903312	negative regulation of mRNA metabolic process	103	-0.496673399989102	-1.92501180196879	1.58651745383564e-06	0.000117342982520142	0.000102870010213779	1187	tags=11%, list=2%, signal=10%	ENSG00000112773/ENSG00000082512/ENSG00000183508/ENSG00000163694/ENSG00000168646/ENSG00000205916/ENSG00000111701/ENSG00000187191/ENSG00000188120/ENSG00000205944/ENSG00000148584
BP	GO:0006885	regulation of pH	107	-0.486351004469536	-1.88793167544343	1.58599755245459e-06	0.000117342982520142	0.000102870010213779	7039	tags=21%, list=12%, signal=19%	ENSG00000197818/ENSG00000172139/ENSG00000164889/ENSG00000104267/ENSG00000225697/ENSG00000178301/ENSG00000050438/ENSG00000115616/ENSG00000144290/ENSG00000110148/ENSG00000136160/ENSG00000180251/ENSG00000164175/ENSG00000066230/ENSG00000139832/ENSG00000168748/ENSG00000162753/ENSG00000105675/ENSG00000004799/ENSG00000186009/ENSG00000080493/ENSG00000001626/ENSG00000091138
BP	GO:0014074	response to purine-containing compound	149	-0.438691796723513	-1.72653518262048	1.57820415704481e-06	0.000117342982520142	0.000102870010213779	8149	tags=25%, list=14%, signal=21%	ENSG00000240583/ENSG00000143627/ENSG00000143839/ENSG00000135124/ENSG00000092820/ENSG00000130529/ENSG00000109756/ENSG00000142185/ENSG00000128271/ENSG00000083123/ENSG00000103569/ENSG00000103375/ENSG00000120156/ENSG00000118507/ENSG00000225697/ENSG00000105851/ENSG00000108405/ENSG00000187486/ENSG00000197594/ENSG00000142319/ENSG00000130707/ENSG00000181092/ENSG00000128564/ENSG00000072954/ENSG00000125931/ENSG00000165140/ENSG00000140279/ENSG00000138622/ENSG00000053918/ENSG00000105641/ENSG00000109991/ENSG00000141448/ENSG00000021826/ENSG00000167588/ENSG00000001626/ENSG00000134240/ENSG00000091138
MF	GO:0120020	cholesterol transfer activity	25	-0.784394264025849	-2.39437499230378	1.67671437781834e-06	0.000122865903574577	0.000107711739417161	2843	tags=40%, list=5%, signal=38%	ENSG00000131748/ENSG00000110243/ENSG00000023171/ENSG00000138075/ENSG00000143921/ENSG00000118137/ENSG00000138823/ENSG00000158874/ENSG00000084674/ENSG00000110244
BP	GO:0006821	chloride transport	127	-0.475571155532384	-1.85842680118966	1.71004907164875e-06	0.000124158975715855	0.000108845325265445	6702	tags=33%, list=11%, signal=29%	ENSG00000171596/ENSG00000164889/ENSG00000142959/ENSG00000186510/ENSG00000104267/ENSG00000225697/ENSG00000171365/ENSG00000185101/ENSG00000101958/ENSG00000081923/ENSG00000113504/ENSG00000187730/ENSG00000050438/ENSG00000145864/ENSG00000145217/ENSG00000174502/ENSG00000085563/ENSG00000163288/ENSG00000167608/ENSG00000189143/ENSG00000144290/ENSG00000166206/ENSG00000268104/ENSG00000146205/ENSG00000036828/ENSG00000171714/ENSG00000168748/ENSG00000086159/ENSG00000094755/ENSG00000112053/ENSG00000073464/ENSG00000159212/ENSG00000106688/ENSG00000126562/ENSG00000064651/ENSG00000151834/ENSG00000162383/ENSG00000112782/ENSG00000132911/ENSG00000001626/ENSG00000016490/ENSG00000091138
MF	GO:0004620	phospholipase activity	109	-0.49059601792146	-1.90202695513235	1.73787610888795e-06	0.00012503228659763	0.00010961092281034	5171	tags=28%, list=9%, signal=26%	ENSG00000177666/ENSG00000187980/ENSG00000161714/ENSG00000121316/ENSG00000133321/ENSG00000170890/ENSG00000101670/ENSG00000101333/ENSG00000130653/ENSG00000138193/ENSG00000158555/ENSG00000168539/ENSG00000154822/ENSG00000168004/ENSG00000187021/ENSG00000185269/ENSG00000036828/ENSG00000153982/ENSG00000144837/ENSG00000114805/ENSG00000176485/ENSG00000182156/ENSG00000130768/ENSG00000163898/ENSG00000166035/ENSG00000188784/ENSG00000103056/ENSG00000069764/ENSG00000188257/ENSG00000138308/ENSG00000266200
MF	GO:0016298	lipase activity	130	-0.461052403651523	-1.80475607457446	1.77777161678916e-06	0.000126750311488913	0.000111117048138998	7024	tags=32%, list=12%, signal=28%	ENSG00000173239/ENSG00000133328/ENSG00000129925/ENSG00000136960/ENSG00000117480/ENSG00000074416/ENSG00000177666/ENSG00000144959/ENSG00000187980/ENSG00000161714/ENSG00000121316/ENSG00000106077/ENSG00000140526/ENSG00000133321/ENSG00000134780/ENSG00000170890/ENSG00000101670/ENSG00000101333/ENSG00000130653/ENSG00000138193/ENSG00000158555/ENSG00000168539/ENSG00000154822/ENSG00000168004/ENSG00000187021/ENSG00000185269/ENSG00000036828/ENSG00000153982/ENSG00000144837/ENSG00000114805/ENSG00000176485/ENSG00000182156/ENSG00000130768/ENSG00000163898/ENSG00000166035/ENSG00000188784/ENSG00000103056/ENSG00000069764/ENSG00000188257/ENSG00000138308/ENSG00000266200/ENSG00000182333
BP	GO:0071326	cellular response to monosaccharide stimulus	151	-0.432205862000557	-1.71015337299142	1.81611905264015e-06	0.000128328269487448	0.000112500382292775	7588	tags=26%, list=13%, signal=23%	ENSG00000221493/ENSG00000172375/ENSG00000165813/ENSG00000175567/ENSG00000130529/ENSG00000119782/ENSG00000181722/ENSG00000178607/ENSG00000196126/ENSG00000198722/ENSG00000112759/ENSG00000100219/ENSG00000225697/ENSG00000283733/ENSG00000113504/ENSG00000157017/ENSG00000187486/ENSG00000104635/ENSG00000147571/ENSG00000075891/ENSG00000036828/ENSG00000174672/ENSG00000159640/ENSG00000006071/ENSG00000147642/ENSG00000150594/ENSG00000115263/ENSG00000009950/ENSG00000155093/ENSG00000162992/ENSG00000070985/ENSG00000095981/ENSG00000163581/ENSG00000185002/ENSG00000136574/ENSG00000125798/ENSG00000124253/ENSG00000139515/ENSG00000012504/ENSG00000001626
BP	GO:0034381	plasma lipoprotein particle clearance	55	-0.616068195344905	-2.14876812708201	1.85967894851676e-06	0.000130243355739483	0.000114179263620624	5296	tags=27%, list=9%, signal=25%	ENSG00000284567/ENSG00000144959/ENSG00000062282/ENSG00000199085/ENSG00000101670/ENSG00000181092/ENSG00000172828/ENSG00000006071/ENSG00000167780/ENSG00000166035/ENSG00000118137/ENSG00000012504/ENSG00000158874/ENSG00000110245/ENSG00000084674
MF	GO:0005496	steroid binding	108	-0.497123078334773	-1.93145001813766	1.94781789158746e-06	0.000135219568368624	0.000118541714897996	5458	tags=25%, list=9%, signal=23%	ENSG00000144645/ENSG00000105409/ENSG00000196482/ENSG00000102003/ENSG00000133116/ENSG00000169906/ENSG00000189058/ENSG00000072858/ENSG00000176387/ENSG00000131748/ENSG00000167780/ENSG00000151623/ENSG00000006025/ENSG00000170099/ENSG00000023171/ENSG00000170915/ENSG00000143365/ENSG00000112212/ENSG00000185615/ENSG00000160868/ENSG00000007062/ENSG00000015520/ENSG00000118137/ENSG00000012504/ENSG00000158874/ENSG00000110245/ENSG00000145321
BP	GO:1904478	regulation of intestinal absorption	14	-0.886212445688104	-2.29357620656258	1.98747498163672e-06	0.000136772843518895	0.000119903410562632	1444	tags=64%, list=2%, signal=63%	ENSG00000106404/ENSG00000182156/ENSG00000138075/ENSG00000143921/ENSG00000118137/ENSG00000165828/ENSG00000158874/ENSG00000165376/ENSG00000110244
BP	GO:0042044	fluid transport	39	-0.68957664518248	-2.26167168721444	2.05449639656901e-06	0.000140166245538337	0.000122878273591527	2892	tags=44%, list=5%, signal=41%	ENSG00000259916/ENSG00000103569/ENSG00000103375/ENSG00000225697/ENSG00000178301/ENSG00000136160/ENSG00000086159/ENSG00000100170/ENSG00000165269/ENSG00000161798/ENSG00000184945/ENSG00000185176/ENSG00000172367/ENSG00000100373/ENSG00000001626/ENSG00000167580/ENSG00000066405
BP	GO:0046683	response to organophosphorus	134	-0.455917908060889	-1.78006580464348	2.19665647868594e-06	0.000148584097199321	0.00013025787540278	8175	tags=26%, list=14%, signal=23%	ENSG00000088766/ENSG00000240583/ENSG00000143627/ENSG00000143839/ENSG00000135124/ENSG00000092820/ENSG00000130529/ENSG00000109756/ENSG00000083123/ENSG00000103569/ENSG00000103375/ENSG00000120156/ENSG00000118507/ENSG00000225697/ENSG00000105851/ENSG00000108405/ENSG00000187486/ENSG00000197594/ENSG00000142319/ENSG00000130707/ENSG00000181092/ENSG00000128564/ENSG00000125931/ENSG00000165140/ENSG00000140279/ENSG00000138622/ENSG00000053918/ENSG00000105641/ENSG00000109991/ENSG00000141448/ENSG00000021826/ENSG00000167588/ENSG00000001626/ENSG00000134240/ENSG00000091138
BP	GO:0015718	monocarboxylic acid transport	183	-0.423504827836494	-1.65924848907944	2.63517001793598e-06	0.000176735046796147	0.000154936713543408	6469	tags=30%, list=11%, signal=27%	ENSG00000214022/ENSG00000117528/ENSG00000175567/ENSG00000112394/ENSG00000103569/ENSG00000137204/ENSG00000147872/ENSG00000174640/ENSG00000170571/ENSG00000134802/ENSG00000254087/ENSG00000076555/ENSG00000225697/ENSG00000149295/ENSG00000081923/ENSG00000187980/ENSG00000198049/ENSG00000118777/ENSG00000170190/ENSG00000111181/ENSG00000137491/ENSG00000170890/ENSG00000108984/ENSG00000198610/ENSG00000178537/ENSG00000119899/ENSG00000168679/ENSG00000023839/ENSG00000101187/ENSG00000140284/ENSG00000079385/ENSG00000186115/ENSG00000036828/ENSG00000159640/ENSG00000253598/ENSG00000108846/ENSG00000168065/ENSG00000186198/ENSG00000188784/ENSG00000112212/ENSG00000132170/ENSG00000141655/ENSG00000197142/ENSG00000069764/ENSG00000101188/ENSG00000007171/ENSG00000132911/ENSG00000188257/ENSG00000114113/ENSG00000125255/ENSG00000138308/ENSG00000165376/ENSG00000145384/ENSG00000131910/ENSG00000163586
CC	GO:0005775	vacuolar lumen	178	-0.396824693419233	-1.58425421099598	2.72565921919772e-06	0.000181267790426309	0.000158910392868042	10559	tags=25%, list=18%, signal=21%	ENSG00000197561/ENSG00000169919/ENSG00000019582/ENSG00000049860/ENSG00000107611/ENSG00000122176/ENSG00000169385/ENSG00000147813/ENSG00000106809/ENSG00000132692/ENSG00000104763/ENSG00000064601/ENSG00000127415/ENSG00000102580/ENSG00000163932/ENSG00000114378/ENSG00000138744/ENSG00000035664/ENSG00000111816/ENSG00000204386/ENSG00000188811/ENSG00000115271/ENSG00000001036/ENSG00000239839/ENSG00000240247/ENSG00000170266/ENSG00000092929/ENSG00000206047/ENSG00000026297/ENSG00000125730/ENSG00000117115/ENSG00000179163/ENSG00000054983/ENSG00000196136/ENSG00000163131/ENSG00000157766/ENSG00000145287/ENSG00000204099/ENSG00000090382/ENSG00000134812/ENSG00000228278/ENSG00000118271/ENSG00000084674/ENSG00000275896/ENSG00000145321
CC	GO:0031093	platelet alpha granule lumen	67	-0.589051213635946	-2.15465500708523	2.88883709253656e-06	0.000190518806252786	0.000167020397165864	7064	tags=33%, list=12%, signal=29%	ENSG00000175899/ENSG00000116260/ENSG00000149781/ENSG00000102265/ENSG00000110799/ENSG00000143653/ENSG00000019991/ENSG00000143768/ENSG00000196136/ENSG00000145192/ENSG00000163736/ENSG00000198113/ENSG00000113889/ENSG00000171564/ENSG00000163631/ENSG00000171557/ENSG00000197249/ENSG00000163737/ENSG00000198734/ENSG00000171560/ENSG00000229314/ENSG00000228278
BP	GO:1902369	negative regulation of RNA catabolic process	94	-0.513348455261529	-1.94946464647747	2.94028060278015e-06	0.000192308931325637	0.000168589729907994	3439	tags=12%, list=6%, signal=11%	ENSG00000112773/ENSG00000082512/ENSG00000183508/ENSG00000163694/ENSG00000168646/ENSG00000205916/ENSG00000111701/ENSG00000187191/ENSG00000188120/ENSG00000205944/ENSG00000148584
BP	GO:0071322	cellular response to carbohydrate stimulus	161	-0.420821437528029	-1.68273606478382	3.11832477771242e-06	0.000202282149924722	0.000177332861172585	7588	tags=26%, list=13%, signal=23%	ENSG00000221493/ENSG00000172375/ENSG00000165813/ENSG00000175567/ENSG00000130529/ENSG00000119782/ENSG00000181722/ENSG00000178607/ENSG00000196126/ENSG00000198722/ENSG00000112759/ENSG00000100219/ENSG00000225697/ENSG00000283733/ENSG00000113504/ENSG00000157017/ENSG00000187486/ENSG00000108984/ENSG00000104635/ENSG00000147571/ENSG00000075891/ENSG00000036828/ENSG00000174672/ENSG00000159640/ENSG00000006071/ENSG00000147642/ENSG00000165140/ENSG00000150594/ENSG00000115263/ENSG00000009950/ENSG00000155093/ENSG00000162992/ENSG00000070985/ENSG00000095981/ENSG00000163581/ENSG00000185002/ENSG00000136574/ENSG00000125798/ENSG00000124253/ENSG00000139515/ENSG00000012504/ENSG00000001626
BP	GO:0046503	glycerolipid catabolic process	69	-0.577034114786735	-2.14480642056314	3.34640014086837e-06	0.000215312282234409	0.000188755869306491	6805	tags=33%, list=12%, signal=29%	ENSG00000234906/ENSG00000136960/ENSG00000117480/ENSG00000074416/ENSG00000177666/ENSG00000105851/ENSG00000214456/ENSG00000140526/ENSG00000077044/ENSG00000134780/ENSG00000101670/ENSG00000130653/ENSG00000187021/ENSG00000153982/ENSG00000110243/ENSG00000166035/ENSG00000069764/ENSG00000021826/ENSG00000158874/ENSG00000266200/ENSG00000110245/ENSG00000084674/ENSG00000110244
BP	GO:0034374	low-density lipoprotein particle remodeling	16	-0.864839827027367	-2.28655537055014	3.43539886800876e-06	0.000215775766995407	0.000189162188296122	1159	tags=50%, list=2%, signal=49%	ENSG00000166035/ENSG00000188784/ENSG00000069764/ENSG00000188257/ENSG00000135744/ENSG00000138823/ENSG00000158874/ENSG00000084674
BP	GO:0006953	acute-phase response	48	-0.637012047426204	-2.15272982755506	3.42175888614206e-06	0.000215775766995407	0.000189162188296122	3953	tags=40%, list=7%, signal=37%	ENSG00000134339/ENSG00000185187/ENSG00000254647/ENSG00000148965/ENSG00000132703/ENSG00000106327/ENSG00000130707/ENSG00000196136/ENSG00000145192/ENSG00000136160/ENSG00000129988/ENSG00000141655/ENSG00000180210/ENSG00000132693/ENSG00000197249/ENSG00000229314/ENSG00000228278/ENSG00000143954/ENSG00000172016
BP	GO:0050852	T cell receptor signaling pathway	147	-0.422538293243941	-1.65270767100934	3.38973125032032e-06	0.000215775766995407	0.000189162188296122	13478	tags=33%, list=23%, signal=25%	ENSG00000198821/ENSG00000050820/ENSG00000178562/ENSG00000010671/ENSG00000026950/ENSG00000206503/ENSG00000204655/ENSG00000223865/ENSG00000104312/ENSG00000024048/ENSG00000150637/ENSG00000043462/ENSG00000115085/ENSG00000134242/ENSG00000117281/ENSG00000187889/ENSG00000203896/ENSG00000112763/ENSG00000010810/ENSG00000135605/ENSG00000160185/ENSG00000135426/ENSG00000179344/ENSG00000213658/ENSG00000092820/ENSG00000211751/ENSG00000196126/ENSG00000198286/ENSG00000163519/ENSG00000113263/ENSG00000146072/ENSG00000074966/ENSG00000130475/ENSG00000126353/ENSG00000198087/ENSG00000131981/ENSG00000168918/ENSG00000182866/ENSG00000165810/ENSG00000130202/ENSG00000141293/ENSG00000104783/ENSG00000079385/ENSG00000149177/ENSG00000124557/ENSG00000114455/ENSG00000168903/ENSG00000113303
CC	GO:0042571	immunoglobulin complex, circulating	12	-0.893925844982103	-2.17367191818969	3.49608142508989e-06	0.000217858176363476	0.000190987755265375	5302	tags=83%, list=9%, signal=76%	ENSG00000211893/ENSG00000211896/ENSG00000239951/ENSG00000211897/ENSG00000211890/ENSG00000132465/ENSG00000211899/ENSG00000211895/ENSG00000211898/ENSG00000162896
BP	GO:2000623	negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	10	-0.926931527927092	-2.16779337959232	3.65729242158314e-06	0.000226123533003195	0.00019823367064683	152	tags=40%, list=0%, signal=40%	ENSG00000169062/ENSG00000187742/ENSG00000111701/ENSG00000148584
BP	GO:0046460	neutral lipid biosynthetic process	53	-0.60512104582132	-2.11854347707151	4.13851852893991e-06	0.000248122997257807	0.000217519741820119	6987	tags=36%, list=12%, signal=32%	ENSG00000025434/ENSG00000197296/ENSG00000177666/ENSG00000185000/ENSG00000169692/ENSG00000214456/ENSG00000062282/ENSG00000125730/ENSG00000186281/ENSG00000198814/ENSG00000134780/ENSG00000138193/ENSG00000124003/ENSG00000101577/ENSG00000187546/ENSG00000130988/ENSG00000166391/ENSG00000124253/ENSG00000106384
BP	GO:0046463	acylglycerol biosynthetic process	53	-0.60512104582132	-2.11854347707151	4.13851852893991e-06	0.000248122997257807	0.000217519741820119	6987	tags=36%, list=12%, signal=32%	ENSG00000025434/ENSG00000197296/ENSG00000177666/ENSG00000185000/ENSG00000169692/ENSG00000214456/ENSG00000062282/ENSG00000125730/ENSG00000186281/ENSG00000198814/ENSG00000134780/ENSG00000138193/ENSG00000124003/ENSG00000101577/ENSG00000187546/ENSG00000130988/ENSG00000166391/ENSG00000124253/ENSG00000106384
BP	GO:0033344	cholesterol efflux	74	-0.563177883806569	-2.0851369130114	4.09116055726081e-06	0.000248122997257807	0.000217519741820119	3611	tags=23%, list=6%, signal=22%	ENSG00000199085/ENSG00000207933/ENSG00000181092/ENSG00000122547/ENSG00000167780/ENSG00000005421/ENSG00000164690/ENSG00000110243/ENSG00000132170/ENSG00000069764/ENSG00000138075/ENSG00000143921/ENSG00000118137/ENSG00000158874/ENSG00000110245/ENSG00000084674/ENSG00000110244
CC	GO:0070160	tight junction	136	-0.441058888720768	-1.72167248373055	4.10244930674375e-06	0.000248122997257807	0.000217519741820119	7828	tags=26%, list=13%, signal=23%	ENSG00000130545/ENSG00000152939/ENSG00000125753/ENSG00000109756/ENSG00000105699/ENSG00000082458/ENSG00000119139/ENSG00000157224/ENSG00000179776/ENSG00000149564/ENSG00000095203/ENSG00000159261/ENSG00000183067/ENSG00000181885/ENSG00000116117/ENSG00000143195/ENSG00000151276/ENSG00000126016/ENSG00000102981/ENSG00000124429/ENSG00000189143/ENSG00000124171/ENSG00000197822/ENSG00000163251/ENSG00000119888/ENSG00000126562/ENSG00000106404/ENSG00000213937/ENSG00000253958/ENSG00000143375/ENSG00000105289/ENSG00000002726/ENSG00000184697/ENSG00000165215/ENSG00000165376/ENSG00000066405
BP	GO:0065005	protein-lipid complex assembly	30	-0.741619893517597	-2.33234483201085	4.52473972501544e-06	0.000269239023938137	0.000236031337772669	4972	tags=33%, list=9%, signal=31%	ENSG00000185000/ENSG00000136717/ENSG00000165059/ENSG00000167780/ENSG00000118137/ENSG00000138823/ENSG00000158874/ENSG00000110245/ENSG00000084674/ENSG00000110244
BP	GO:0071320	cellular response to cAMP	53	-0.602352695301892	-2.10885141467229	4.79410546890081e-06	0.000283138437917022	0.000248216411198156	8149	tags=34%, list=14%, signal=29%	ENSG00000240583/ENSG00000092820/ENSG00000109756/ENSG00000103569/ENSG00000103375/ENSG00000118507/ENSG00000225697/ENSG00000105851/ENSG00000130707/ENSG00000181092/ENSG00000165140/ENSG00000138622/ENSG00000053918/ENSG00000105641/ENSG00000021826/ENSG00000167588/ENSG00000001626/ENSG00000091138
BP	GO:1902373	negative regulation of mRNA catabolic process	81	-0.53621176235915	-2.00872027488727	4.86192424941028e-06	0.00028501680377654	0.000249863101191915	3439	tags=14%, list=6%, signal=13%	ENSG00000112773/ENSG00000082512/ENSG00000183508/ENSG00000163694/ENSG00000168646/ENSG00000205916/ENSG00000111701/ENSG00000187191/ENSG00000188120/ENSG00000205944/ENSG00000148584
BP	GO:0006576	biogenic amine metabolic process	100	-0.484636632907963	-1.8712767159069	5.04147983682252e-06	0.000291997191111255	0.000255982534165208	5286	tags=26%, list=9%, signal=24%	ENSG00000111275/ENSG00000069535/ENSG00000138744/ENSG00000170893/ENSG00000149295/ENSG00000261052/ENSG00000153234/ENSG00000213648/ENSG00000133116/ENSG00000153086/ENSG00000162882/ENSG00000142319/ENSG00000127838/ENSG00000150540/ENSG00000153982/ENSG00000197165/ENSG00000106688/ENSG00000141744/ENSG00000116771/ENSG00000171759/ENSG00000184845/ENSG00000173404/ENSG00000240268/ENSG00000173597/ENSG00000002726/ENSG00000132437
BP	GO:0071333	cellular response to glucose stimulus	146	-0.440741113848769	-1.71815263449084	5.05479089995475e-06	0.000291997191111255	0.000255982534165208	7588	tags=27%, list=13%, signal=23%	ENSG00000221493/ENSG00000172375/ENSG00000165813/ENSG00000175567/ENSG00000130529/ENSG00000119782/ENSG00000181722/ENSG00000178607/ENSG00000196126/ENSG00000198722/ENSG00000112759/ENSG00000100219/ENSG00000283733/ENSG00000113504/ENSG00000157017/ENSG00000187486/ENSG00000104635/ENSG00000147571/ENSG00000075891/ENSG00000036828/ENSG00000174672/ENSG00000159640/ENSG00000006071/ENSG00000147642/ENSG00000150594/ENSG00000115263/ENSG00000009950/ENSG00000155093/ENSG00000162992/ENSG00000070985/ENSG00000095981/ENSG00000163581/ENSG00000185002/ENSG00000136574/ENSG00000125798/ENSG00000124253/ENSG00000139515/ENSG00000012504/ENSG00000001626
BP	GO:0046461	neutral lipid catabolic process	42	-0.650752960534969	-2.19850418144955	5.32676122728952e-06	0.000303280491746542	0.00026587416318868	6805	tags=45%, list=12%, signal=40%	ENSG00000234906/ENSG00000117480/ENSG00000074416/ENSG00000177666/ENSG00000105851/ENSG00000214456/ENSG00000140526/ENSG00000077044/ENSG00000134780/ENSG00000101670/ENSG00000187021/ENSG00000110243/ENSG00000166035/ENSG00000021826/ENSG00000158874/ENSG00000266200/ENSG00000110245/ENSG00000084674/ENSG00000110244
BP	GO:0046464	acylglycerol catabolic process	42	-0.650752960534969	-2.19850418144955	5.32676122728952e-06	0.000303280491746542	0.00026587416318868	6805	tags=45%, list=12%, signal=40%	ENSG00000234906/ENSG00000117480/ENSG00000074416/ENSG00000177666/ENSG00000105851/ENSG00000214456/ENSG00000140526/ENSG00000077044/ENSG00000134780/ENSG00000101670/ENSG00000187021/ENSG00000110243/ENSG00000166035/ENSG00000021826/ENSG00000158874/ENSG00000266200/ENSG00000110245/ENSG00000084674/ENSG00000110244
BP	GO:0031100	animal organ regeneration	66	-0.55856431423934	-2.04604428821107	5.37521642760839e-06	0.000303853305772092	0.000266376326874939	2322	tags=15%, list=4%, signal=15%	ENSG00000159640/ENSG00000140093/ENSG00000130988/ENSG00000057593/ENSG00000136881/ENSG00000109072/ENSG00000139515/ENSG00000158874/ENSG00000131910/ENSG00000163501
BP	GO:0098856	intestinal lipid absorption	24	-0.77710395160121	-2.35494151367797	6.59183634784216e-06	0.00036998434650229	0.000324350827686657	2297	tags=50%, list=4%, signal=48%	ENSG00000167780/ENSG00000106404/ENSG00000182156/ENSG00000138075/ENSG00000143921/ENSG00000015520/ENSG00000118137/ENSG00000165828/ENSG00000158874/ENSG00000165376/ENSG00000145384/ENSG00000110244
BP	GO:0043489	RNA stabilization	82	-0.522710552933927	-1.97118903083132	6.92860292704989e-06	0.000383447297655055	0.00033615327119754	5239	tags=12%, list=9%, signal=11%	ENSG00000112773/ENSG00000082512/ENSG00000183508/ENSG00000163694/ENSG00000168646/ENSG00000205916/ENSG00000111701/ENSG00000187191/ENSG00000188120/ENSG00000205944
BP	GO:0050818	regulation of coagulation	76	-0.528070424078348	-1.93741874477583	6.91680477593199e-06	0.000383447297655055	0.00033615327119754	4064	tags=25%, list=7%, signal=23%	ENSG00000164344/ENSG00000164867/ENSG00000003436/ENSG00000115718/ENSG00000079385/ENSG00000133216/ENSG00000113889/ENSG00000001561/ENSG00000057593/ENSG00000180210/ENSG00000088926/ENSG00000171564/ENSG00000171557/ENSG00000125798/ENSG00000163737/ENSG00000109072/ENSG00000091583/ENSG00000171560/ENSG00000127324
BP	GO:0018958	phenol-containing compound metabolic process	117	-0.465913869419516	-1.8434985006508	7.04836880501776e-06	0.000387366602242434	0.000339589172469825	5286	tags=25%, list=9%, signal=23%	ENSG00000149295/ENSG00000261052/ENSG00000153234/ENSG00000213648/ENSG00000133116/ENSG00000211452/ENSG00000142319/ENSG00000164175/ENSG00000140274/ENSG00000127838/ENSG00000125931/ENSG00000103316/ENSG00000129167/ENSG00000197165/ENSG00000130649/ENSG00000106688/ENSG00000140279/ENSG00000141744/ENSG00000171759/ENSG00000105707/ENSG00000135346/ENSG00000184845/ENSG00000105641/ENSG00000173404/ENSG00000240268/ENSG00000173597/ENSG00000105398/ENSG00000132437/ENSG00000009765
MF	GO:0008494	translation activator activity	14	-0.86882584552075	-2.24857853963646	7.30533165182893e-06	0.000397380719504242	0.000348368157994821	156	tags=43%, list=0%, signal=43%	ENSG00000092345/ENSG00000185088/ENSG00000205916/ENSG00000187191/ENSG00000188120/ENSG00000205944
CC	GO:0005681	spliceosomal complex	207	0.597495997515609	1.60999001474788	7.33100645029307e-06	0.000397380719504242	0.000348368157994821	1131	tags=2%, list=2%, signal=2%	ENSG00000244395/ENSG00000242389/ENSG00000169800/ENSG00000234414/ENSG00000226941
BP	GO:0055123	digestive system development	151	-0.413530345973161	-1.63625803853488	7.91179535693665e-06	0.000425945227583651	0.000373409546706548	6158	tags=25%, list=11%, signal=22%	ENSG00000182271/ENSG00000099139/ENSG00000168267/ENSG00000139352/ENSG00000100219/ENSG00000070193/ENSG00000115738/ENSG00000125398/ENSG00000284395/ENSG00000171105/ENSG00000106392/ENSG00000205213/ENSG00000130707/ENSG00000110148/ENSG00000136160/ENSG00000128918/ENSG00000120057/ENSG00000106078/ENSG00000163251/ENSG00000164690/ENSG00000053918/ENSG00000162878/ENSG00000124664/ENSG00000106031/ENSG00000141448/ENSG00000130700/ENSG00000106541/ENSG00000136574/ENSG00000021826/ENSG00000165556/ENSG00000113722/ENSG00000139515/ENSG00000036473/ENSG00000134240/ENSG00000275410/ENSG00000066405/ENSG00000163501
BP	GO:0016540	protein autoprocessing	27	-0.75916752913308	-2.36846520300884	8.16340084666289e-06	0.000436521312841149	0.000382681187626992	1668	tags=22%, list=3%, signal=22%	ENSG00000164690/ENSG00000166268/ENSG00000184012/ENSG00000124920/ENSG00000163501/ENSG00000196188
BP	GO:0098661	inorganic anion transmembrane transport	130	-0.438259925133197	-1.715536576455	8.41256921889216e-06	0.000444938684276688	0.000390060368443352	6560	tags=29%, list=11%, signal=26%	ENSG00000164889/ENSG00000142959/ENSG00000186510/ENSG00000137700/ENSG00000225697/ENSG00000171365/ENSG00000185101/ENSG00000101958/ENSG00000113504/ENSG00000187730/ENSG00000050438/ENSG00000145864/ENSG00000145217/ENSG00000174502/ENSG00000163288/ENSG00000167608/ENSG00000189143/ENSG00000166206/ENSG00000146205/ENSG00000036828/ENSG00000171714/ENSG00000086159/ENSG00000094755/ENSG00000112053/ENSG00000073464/ENSG00000159212/ENSG00000106688/ENSG00000160190/ENSG00000064651/ENSG00000124568/ENSG00000151834/ENSG00000162383/ENSG00000112782/ENSG00000105641/ENSG00000132911/ENSG00000001626/ENSG00000016490/ENSG00000091138
CC	GO:0005766	primary lysosome	155	-0.414412005832466	-1.64485116302292	8.48947957111195e-06	0.000444938684276688	0.000390060368443352	8825	tags=28%, list=15%, signal=24%	ENSG00000239264/ENSG00000135677/ENSG00000118308/ENSG00000148334/ENSG00000164713/ENSG00000197561/ENSG00000169919/ENSG00000049860/ENSG00000169385/ENSG00000147813/ENSG00000064601/ENSG00000079950/ENSG00000102580/ENSG00000163932/ENSG00000171051/ENSG00000135404/ENSG00000164821/ENSG00000111816/ENSG00000124469/ENSG00000122359/ENSG00000188811/ENSG00000115271/ENSG00000001036/ENSG00000239839/ENSG00000240247/ENSG00000170266/ENSG00000092929/ENSG00000206047/ENSG00000026297/ENSG00000166900/ENSG00000125730/ENSG00000117115/ENSG00000179163/ENSG00000196136/ENSG00000172794/ENSG00000124406/ENSG00000145287/ENSG00000086548/ENSG00000090382/ENSG00000112299/ENSG00000228278/ENSG00000118271/ENSG00000275896/ENSG00000162896
